TERRITORIO,COD_MUN,TIME_PERIOD,TIME_PERIOD_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,NOMBRE,ISLA,valor_referencia
Santa Lucía de Tirajana,35022,2022,2022,Pensiones,PENSIONES,13.5,Santa Lucía de Tirajana,Gran Canaria,66.7
Santa Lucía de Tirajana,35022,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.6,Santa Lucía de Tirajana,Gran Canaria,66.7
Santa María de Guía de Gran Canaria,35023,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,59.2,Santa María de Guía de Gran Canaria,Gran Canaria,59.2
Santa María de Guía de Gran Canaria,35023,2022,2022,Otros ingresos,OTROS_INGRESOS,10.1,Santa María de Guía de Gran Canaria,Gran Canaria,59.2
Santa María de Guía de Gran Canaria,35023,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,7.1,Santa María de Guía de Gran Canaria,Gran Canaria,59.2
Santa María de Guía de Gran Canaria,35023,2022,2022,Pensiones,PENSIONES,21.2,Santa María de Guía de Gran Canaria,Gran Canaria,59.2
Santa María de Guía de Gran Canaria,35023,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.5,Santa María de Guía de Gran Canaria,Gran Canaria,59.2
Tejeda,35025,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,49.9,Tejeda,Gran Canaria,49.9
Tejeda,35025,2022,2022,Otros ingresos,OTROS_INGRESOS,14.1,Tejeda,Gran Canaria,49.9
Tejeda,35025,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.5,Tejeda,Gran Canaria,49.9
Tejeda,35025,2022,2022,Pensiones,PENSIONES,29.4,Tejeda,Gran Canaria,49.9
Tejeda,35025,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.2,Tejeda,Gran Canaria,49.9
Telde,35026,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.2,Telde,Gran Canaria,64.2
Telde,35026,2022,2022,Otros ingresos,OTROS_INGRESOS,9.9,Telde,Gran Canaria,64.2
Telde,35026,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.7,Telde,Gran Canaria,64.2
Telde,35026,2022,2022,Pensiones,PENSIONES,17.3,Telde,Gran Canaria,64.2
Telde,35026,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.9,Telde,Gran Canaria,64.2
Teror,35027,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,62.0,Teror,Gran Canaria,62.0
Teror,35027,2022,2022,Otros ingresos,OTROS_INGRESOS,12.2,Teror,Gran Canaria,62.0
Teror,35027,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.8,Teror,Gran Canaria,62.0
Teror,35027,2022,2022,Pensiones,PENSIONES,18.6,Teror,Gran Canaria,62.0
Teror,35027,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.5,Teror,Gran Canaria,62.0
Valsequillo de Gran Canaria,35031,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.8,Valsequillo de Gran Canaria,Gran Canaria,64.8
Valsequillo de Gran Canaria,35031,2022,2022,Otros ingresos,OTROS_INGRESOS,12.0,Valsequillo de Gran Canaria,Gran Canaria,64.8
Valsequillo de Gran Canaria,35031,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.9,Valsequillo de Gran Canaria,Gran Canaria,64.8
Valsequillo de Gran Canaria,35031,2022,2022,Pensiones,PENSIONES,15.6,Valsequillo de Gran Canaria,Gran Canaria,64.8
Valsequillo de Gran Canaria,35031,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.7,Valsequillo de Gran Canaria,Gran Canaria,64.8
Valleseco,35032,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,56.9,Valleseco,Gran Canaria,56.9
Valleseco,35032,2022,2022,Otros ingresos,OTROS_INGRESOS,11.0,Valleseco,Gran Canaria,56.9
Valleseco,35032,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.9,Valleseco,Gran Canaria,56.9
